text_raw,label,text_cleaned
Thật tuyệt vời...!!!,0,tuyệt_vời ! ! !
"mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",0,mỹ tuột_dốc vực dậy
"tôi thấy người lái xe hơi bấm còi mới là người ""rất"" lịch sự ""quá"" văn minh.đường xá là của chung,người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",1,lái xe_hơi bấm còi lịch_sự văn_minh đường_xá sử_dụng kiên_nhẫn bấm còi nháy đèn đòi ưu_tiên đi đại
Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,0,coi dịch giặc xâm_nhập vn đầu_hàng cứt xéo vn tự_hào !
"Thương các bé quá! Các con còn quá nhỏ mà đã phải sớm rời xa cha mẹ! Xin chia buồn cùng các gia đình các con, cầu mong các con thật vui ở thế giới mới!",0,thương bé ! rời cha_mẹ ! chia buồn gia_đình cầu_mong vui thế_giới !
Sevila đoạt cúp sau loạt đá luân lưu nha,0,sevila đoạt cúp loạt đá luân_lưu nha
Angelina Jolie có đôi bàn tay nổi gân guốc quá!,0,angelina jolie đôi bàn_tay nổi gân_guốc !
"""Tôi không biết bà ấy làm thế nào để xử lý gã ấy, chỉ thấy đánh bùm bùm"".",0,thế_nào xử_lý gã đánh bùm bùm
tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,0,hình bộ_nhớ máy_tính chứa
Không trung sẽ không còn yên tĩnh,0,không_trung yên_tĩnh
"Dí súng vào người khác bóp cò, đạn ko nổ, ko thuộc trường hợp có tính côn đồ !? Bó tay luônĐề nghị giảm án cho anh Đi",0,dí súng bóp cò đạn nổ trường_hợp côn_đồ ! ? bó_tay luônđề nghị án đi
Em quá giỏi. Em nên tham gia THÀNH LẬP CLB tiếng Anh. Ở các Giáo xứ/ nhà chùa/ các trường anh ngữ có sự tham gia của các Hội Thiện Nguyện... hãy cho các em không có điều kiện học ngoại ngữ MỘT CƠ HỘI ƯỚC MƠ,0,giỏi tham_gia thành_lập clb tiếng giáo_xứ nhà_chùa trường ngữ tham_gia hội thiện nguyện điều_kiện học ngoại_ngữ cơ_hội ước_mơ
"Mình học đại học bên Mỹ mà nhiều khi giáo sư còn dặn chỉ được lôi điện thoại hay laptop để ghi chép thôi đó. Suốt mấy năm mình chỉ dùng điện thoại để chụp hình bài giảng nếu ghi không kịp hay thu âm cái gì quan trọng. Sau giờ học thì dĩ nhiên là phải dùng máy móc các thứ để làm bài, nhưng trong giờ giảng thì vẫn học theo cách truyền thống thôi. Cho học sinh dùng máy vi tính với những môn đặc biệt hay để thuyết trình thì nghe còn có lí. Chưa kể học sinh mà dùng điện thoại thì chuyện quay/chụp lén sẽ rất khó kiểm soát.",0,học đại_học mỹ giáo_sư dặn lôi điện_thoại laptop ghi_chép suốt mấy điện_thoại chụp hình giảng ghi kịp thu âm quan_trọng học dĩ_nhiên máy_móc giảng học truyền_thống học_sinh máy_vi_tính môn đặc_biệt thuyết_trình có_lí học_sinh điện_thoại chụp lén kiểm_soát
Tui cực sợ rắn nhưng khi xem clip này tui lại cực mắc cười xD,0,tui cực sợ rắn clip tui cực mắc cười xd
