comment;label
tao đang nghe cái Đ gì vậy ??? t mong rằng ngày mai lỗ tai của t không cần phải đi khám;1
nhạc như đấm vào lồ-;1
lẽ ra chiến tranh thế giới thứ II có khi còn thấy dễ iar hơn đấy! Ai đó báo cảnh sát đey;1
Kiểu trên tiktok cũng có 1 cô gái hát kiểu này;0
Tôi có thể hiểu sao mấy đứa cùng lớp khuyến khích tôi nghe bài này. Nó khiến tôi ghen tị với người mù.;1
sai chữ official kìa;0
Đầu tư ghê;0
Mong anh phát hành sớm hơn ;0
xiaomi rồi cả ;0
team này có thù với chữ Official à;0
đc khúc đầu ổn nhất;0
nhạc như lol;1
Yah s ko nghỉ hát sớm đi nhểy;1
cl jv;1
Neue cmt này được 30like tôi sẽ cover bài này ở quảng trường;0
Tu Official no kho viet den the a;0
tôi mong không có nhà tù nào nhận hình thức tra tấn như thế này 😂;1
t hết trĩ sau khi nghe bài này;1
